Classifier,All,Zones,Left_Front_Only
KNeighbors,0.938922820655,0.977234869517,0.792892837313
SVC,0.929483620211,0.943364797335,0.855080510827
RandomForest,0.998334258745,0.998334258745,0.986118822876
DecisionTree,0.998334258745,0.998334258745,0.992781787896
NaiveBayes,0.898389783454,0.912270960577,0.547473625763
