Classifier,All,Zones,Left_Front_Only
SVC,0.929483620211,0.943364797335,0.855080510827
RandomForest,0.998334258745,0.993892282066,0.979455857857
DecisionTree,0.998334258745,0.998334258745,0.992781787896
KNeighbors,0.938922820655,0.977234869517,0.792892837313
