87039.22680, 3,  -0.480,  3.846,  7.468, 5,   1.200, -5.300,-18.800,0,0,0,0
87039.24650, 3,  -0.528,  5.751,  7.655, 4,  -0.951, -0.804,  0.111, 5,  -1.600, -6.700,-18.800
87039.26621, 3,  -0.314,  5.430,  8.669, 4,  -1.194, -0.583,  0.351, 5,   1.200, -5.600,-16.900
87039.28592, 3,  -0.092,  5.488,  7.468, 4,  -1.130, -0.399,  0.379, 5,  -0.400, -6.300,-18.900
87039.30564, 3,   0.242,  4.888,  7.863, 4,  -0.786, -0.442,  0.236, 5,   0.300, -5.900,-19.400
87039.32535, 3,   0.051,  4.539,  8.586, 4,  -0.789, -0.339,  0.239, 5,   1.000, -5.300,-18.600
87039.34508, 3,  -0.155,  3.873,  8.571, 4,  -1.027, -0.310,  0.277, 5,   1.000, -5.700,-17.000
87039.36481, 3,  -0.362,  3.567,  9.067, 4,  -1.069, -0.020,  0.315, 5,   0.600, -5.200,-18.100
87039.38454, 3,   0.466,  3.362,  8.356, 4,  -0.997,  0.321,  0.309, 5,   0.600, -5.700,-18.700
87039.40428, 3,   0.071,  4.281,  8.273, 4,  -0.781,  0.233,  0.229, 5,  -1.300, -5.200,-19.100
87039.42402, 3,   0.089,  5.425,  9.282, 4,  -0.706, -0.050,  0.038, 5,  -2.000, -4.700,-19.100
87039.44376, 3,  -0.399,  4.085,  8.050, 4,  -0.781, -0.237, -0.023, 5,  -1.200, -5.200,-17.700
87039.46351, 3,  -0.460,  4.577, 10.181, 4,  -0.621, -0.237, -0.142, 5,  -0.300, -5.200,-18.500
87039.48327, 3,   0.271,  4.445,  9.773, 4,  -0.477,  0.352, -0.072, 5,  -2.200, -5.900,-18.100
87039.50303, 3,  -0.497,  5.320,  9.317, 4,  -0.153,  0.746,  0.055, 5,  -8.100, -6.900,-19.100
87039.52279, 3,  -0.788,  6.280, 10.443, 4,  -0.101,  0.919,  0.026, 5,  -6.900, -6.000,-19.500
87039.54255, 3,  -0.902,  6.501,  9.181, 4,  -0.178,  0.973,  0.230, 5,  -7.700, -6.000,-19.500
87039.56233, 3,  -0.867,  3.455,  6.705, 4,  -0.083,  0.708,  0.885, 5,  -6.900, -6.000,-20.100
87039.58210, 3,   0.437,  3.721,  7.485, 4,   0.306,  0.687,  1.588, 5,  -4.900, -6.000,-18.700
87039.60188, 3,   0.472,  5.420,  8.612, 4,   0.337,  0.724,  1.453, 5,  -6.600, -6.000,-19.600
87039.62166, 3,   0.343,  5.083,  7.670, 4,  -0.126,  0.472,  0.816, 5,  -2.700, -6.000,-18.500
87039.64144, 3,  -0.820,  4.380,  8.536, 4,  -0.451,  0.084,  0.392, 5,  -4.500, -6.000,-20.100
87039.66123, 3,  -2.423,  3.479, 10.099, 4,  -0.540,  0.250,  0.127, 5,  -3.900, -6.000,-19.300
87039.68103, 3,  -2.004,  3.413, 10.354, 4,  -0.512,  0.343,  0.046, 5,  -7.000, -5.500,-20.200
87039.70082, 3,   0.035,  4.031, 10.140, 4,  -0.372,  0.048,  0.223, 5,  -7.700, -5.500,-20.200
87039.72062, 3,   0.103,  4.190,  9.537, 4,  -0.295, -0.056,  0.458, 5,  -7.700, -5.500,-20.200
87039.74042, 3,  -1.204,  3.976,  9.470, 4,  -0.237, -0.059,  0.360, 5,  -7.700, -5.500,-20.200
87039.76023, 3,  -1.054,  3.921,  9.301, 4,  -0.161, -0.056,  0.085, 5,  -7.200, -5.500,-20.200
87039.78004, 3,  -0.279,  3.642,  9.331, 4,  -0.114, -0.214,  0.130, 5,  -6.000, -5.100,-19.700
87039.79985, 3,   0.165,  3.564,  8.365, 4,   0.006, -0.322,  0.263, 5,  -7.900, -5.100,-19.700
87039.81966, 3,  -0.598,  3.852,  7.445, 4,   0.258, -0.186,  0.222, 5,  -4.500, -5.100,-19.700
87039.83948, 3,  -1.041,  4.000,  7.702, 4,   0.382,  0.075,  0.087, 5,  -5.100, -5.100,-19.700
87039.85930, 3,  -0.504,  3.850,  8.816, 4,   0.241,  0.062,  0.093, 5,  -4.600, -4.700,-20.100
87039.87912, 3,  -0.630,  3.710,  8.887, 4,   0.009, -0.228,  0.141, 5,  -6.900, -4.700,-20.100
