0,2.686,2.718,2.561,2.392,2.534,2.614,2.731,2.833,2.76,2.525,2.434,2.458,2.437,2.495,2.446,2.583,2.686,2.776,2.595,2.57,2.789,2.778,2.599,2.503,2.513,2.394,2.67,2.259,0.636,-4.636,-14.536,-19.696,-19.696,-19.696,-16.231,10.438,19.283,17.313,3.639,-4.287,-5.943,-0.819,4.908,4.313,1.862,2.923,4.198,4.618,3.742,1.419,0.726,2.3,0.568,-1.463,-2.228,-1.806,-1.513,-1.774,-1.59,-1.135,0.287,1.599,2.64,3.207,3.679,4.108,4.248,4.158,3.259,2.325,1.957,1.85,2.051,2.073,2.145,2.128,2.17,2.427,2.43,2.488,2.476,2.303,2.307,2.365,2.352,2.179,1.951,1.955,1.883,2.132,1.966,2.221,2.288,2.292,2.397,2.267,2.187,2.21,1.992,1.894,-9.279,-9.323,-9.232,-9.25,-9.358,-9.35,-9.339,-9.268,-9.196,-9.209,-9.32,-9.364,-9.282,-9.225,-9.229,-9.222,-9.261,-9.236,-9.226,-9.237,-9.205,-9.225,-9.287,-9.309,-9.345,-9.127,-8.979,-8.804,-7.466,-5.726,-8.904,-19.451,-19.451,-19.451,-19.451,-11.486,-6.957,-8.466,-11.695,-13.596,-11.816,-9.47,-8.057,-8.467,-9.331,-10.19,-11.623,-11.306,-10.889,-11.486,-11.669,-11.089,-10.319,-9.936,-9.518,-9.355,-9.023,-9.036,-8.767,-9.216,-9.777,-9.629,-9.198,-9.101,-9.344,-9.302,-9.159,-9.103,-9.505,-9.625,-9.648,-9.524,-9.378,-9.172,-9.363,-9.458,-9.377,-9.427,-9.567,-9.56,-9.343,-9.235,-9.378,-9.487,-9.47,-9.514,-9.552,-9.522,-9.332,-9.228,-9.178,-9.177,-9.257,-9.261,-9.375,-9.457,-9.402,-9.502,-9.409,-9.386,1.517,1.516,1.276,1.385,1.982,2.154,1.843,1.42,1.172,1.427,1.621,1.927,1.946,1.669,1.299,1.359,1.625,1.831,1.867,1.754,1.715,1.532,1.436,1.76,2.199,2.076,1.984,1.508,0.218,-0.491,1.878,3.767,-8.586,-19.443,-19.443,-19.443,-17.085,-1.026,7.577,4.154,4.446,2.417,1.32,-1.478,-2.701,-0.662,-3.135,-6.187,-6.067,-6.008,-3.931,-2.288,-3.991,-3.952,-0.787,0.739,1.658,0.928,-0.053,-0.232,0.414,1.433,1.493,1.552,2.235,2.594,2.074,1.852,1.566,2.141,2.481,2.755,2.61,2.106,1.726,1.373,1.503,2.065,2.152,1.938,1.603,1.503,1.485,1.878,1.923,1.554,1.575,1.518,1.59,1.244,1.056,1.385,1.495,1.717,1.849,1.663,1.662,1.453,1.481,1.512
1,1.924,2.049,2.098,2.164,2.23,2.091,1.915,1.938,2.044,2.237,2.361,2.281,2.167,2.226,2.201,2.223,2.348,2.394,2.21,2.089,1.934,1.869,2.14,2.306,2.318,2.058,0.487,-2.015,-2.071,-6.378,-14.145,-18.985,-19.319,-17.721,-12.501,-2.84,7.326,10.97,11.167,7.517,1.141,-2.942,-3.073,0.127,3.704,4.303,1.515,-1.585,-2.652,-0.362,3.081,4.496,5.19,5.051,3.945,0.412,-2.888,-3.633,-1.983,-1.086,-1.508,-1.738,-0.989,0.591,2.116,3.368,4.099,4.134,3.633,3.621,3.582,3.412,2.969,2.39,2.365,2.686,2.886,2.751,2.444,2.477,2.481,2.5,2.278,2.236,2.46,2.664,2.68,2.585,2.541,2.529,2.505,2.354,2.303,2.383,2.312,2.298,2.434,2.629,2.656,2.582,-9.336,-9.303,-9.231,-9.247,-9.306,-9.464,-9.548,-9.512,-9.46,-9.382,-9.307,-9.306,-9.399,-9.431,-9.463,-9.42,-9.353,-9.301,-9.367,-9.435,-9.499,-9.486,-9.388,-9.309,-9.314,-9.373,-8.55,-7.511,-8.929,-11.829,-13.487,-17.31,-19.451,-19.451,-19.451,-17.504,-10.627,-6.382,-6.582,-8.459,-10.274,-11.225,-10.939,-9.682,-8.902,-9.321,-10.329,-11.33,-11.677,-11.765,-11.698,-11.452,-10.82,-10.113,-10.415,-9.953,-10.034,-9.595,-9.35,-9.217,-9.415,-9.624,-9.589,-9.521,-9.666,-9.628,-9.403,-9.076,-9.095,-9.284,-9.309,-9.238,-9.226,-9.35,-9.572,-9.507,-9.275,-9.209,-9.236,-9.39,-9.324,-9.213,-9.164,-9.345,-9.37,-9.34,-9.248,-9.228,-9.302,-9.322,-9.333,-9.297,-9.328,-9.321,-9.421,-9.427,-9.244,-9.178,-9.247,-9.326,1.58,1.213,1.054,1.285,1.771,1.532,1.558,1.888,2.033,1.687,1.452,1.241,1.306,1.63,1.763,1.633,1.391,1.447,1.426,1.748,1.824,1.642,1.674,1.664,1.543,1.699,0.923,0.108,2.636,6.189,3.764,-1.987,-5.805,-11.578,-18.301,-19.443,-14.824,-6.964,-2.943,0.442,1.954,2.902,3.448,3.248,1.696,-1.115,-3.114,-3.005,-0.199,1.943,2.827,0.637,-1.648,-3.114,-3.809,-5.876,-5.644,-2.4,1.705,3.183,2.343,0.12,-0.4,0.753,1.693,1.787,1.634,1.315,1.243,1.872,2.02,1.801,1.487,1.464,2.033,2.181,1.989,1.733,1.597,1.671,1.822,1.689,1.663,1.773,1.933,1.758,1.433,1.42,1.688,1.736,1.426,1.243,1.378,1.698,1.907,1.567,1.085,1.123,1.482,1.56
2,2.559,2.444,2.316,2.418,2.495,2.626,2.546,2.565,2.357,2.324,2.263,2.372,2.471,2.628,2.705,2.643,2.331,2.339,2.431,2.129,1.629,1.87,2.124,1.32,-2.477,-9.04,-15.584,-19.696,-19.696,-19.696,-18.667,6.727,18.381,18.661,8.901,0.797,-5.61,-8.078,-3.217,1.389,5.253,4.265,1.578,1.352,3.284,2.829,1.006,-0.476,-1.691,-1.894,-0.555,0.483,0.379,-2.029,-4.518,-3.295,-1.7,-0.09,0.813,0.838,0.809,1.196,1.887,2.577,2.648,2.09,1.563,1.598,1.655,1.566,1.278,0.931,0.969,1.165,1.137,1.268,1.32,1.227,1.162,1.039,1.023,0.938,0.977,1.127,0.962,1.185,1.289,1.265,1.27,1.279,1.258,1.091,1.235,1.24,1.483,1.416,1.55,1.38,1.4,1.408,-9.44,-9.42,-9.388,-9.365,-9.303,-9.251,-9.259,-9.337,-9.41,-9.454,-9.445,-9.299,-9.287,-9.25,-9.266,-9.281,-9.352,-9.364,-9.291,-9.017,-8.89,-9.57,-9.805,-9.27,-7.313,-8.279,-14.473,-19.451,-19.451,-19.451,-19.451,-18.669,-4.589,-2.186,-4.371,-10.095,-12.652,-12.271,-10.799,-9.101,-7.813,-7.274,-8.846,-10.1,-10.409,-11.334,-12.276,-12.442,-12.667,-11.582,-10.967,-9.296,-9.03,-9.217,-9.873,-9.645,-8.992,-9.182,-9.7,-9.87,-10.193,-9.951,-9.967,-9.874,-9.664,-9.571,-9.61,-9.683,-9.604,-9.521,-9.639,-9.695,-9.646,-9.618,-9.596,-9.676,-9.586,-9.451,-9.472,-9.539,-9.65,-9.559,-9.541,-9.578,-9.652,-9.527,-9.4,-9.424,-9.475,-9.47,-9.554,-9.575,-9.636,-9.591,-9.585,-9.511,-9.438,-9.512,-9.448,-9.544,1.7,1.492,1.397,1.476,1.772,1.663,1.315,1.254,1.38,1.696,1.854,1.669,1.372,1.241,1.348,1.545,1.673,1.962,1.828,1.163,1.344,3.006,2.504,0.926,-1.027,-0.693,9.138,6.215,-9.099,-18.851,-19.443,-19.443,-19.443,-9.011,4.3,3.024,6.117,8.941,10.141,6.488,2.258,-4.038,-2.834,1.023,1.885,-0.816,-1.911,-2.096,-2.029,-0.378,0.704,1.221,-1.409,-2.106,-3.455,-3.049,-0.926,1.129,1.62,1.007,-0.1,0.727,1.342,2.222,2.3,1.565,1.338,1.663,1.789,1.457,1.387,1.478,1.906,2.377,1.737,1.647,1.858,1.767,1.673,1.618,1.754,1.426,1.742,1.865,1.674,1.754,1.718,1.362,1.303,1.694,1.83,1.548,1.518,1.737,1.981,1.722,1.724,1.52,1.613,1.585
3,1.186,1.398,1.248,1.26,1.404,1.349,1.368,1.455,1.377,1.342,1.419,1.3,1.401,1.533,1.537,1.399,1.144,1.252,1.487,1.468,1.422,1.315,1.09,0.727,-0.497,-2.026,-3.036,-4.5,-7.663,-12.937,-19.696,-19.696,-18.046,-9.652,0.646,9.724,13.735,10.627,4.429,-0.542,-1.952,-1.555,0.297,1.918,2.547,3.069,4.548,4.971,2.316,-1.003,-3.415,-3.86,-3.461,-0.462,0.831,-1.007,-3.373,-3.203,-1.962,-1.035,0.052,0.533,0.772,1.258,1.377,1.547,1.53,1.375,1.274,1.344,1.672,1.793,1.356,1.429,1.27,1.104,1.156,1.215,1.259,1.117,1.091,1.073,1.153,1.068,0.868,0.772,0.95,1.253,1.315,1.341,1.269,0.829,1.032,1.07,1.163,1.247,1.157,1.229,1.011,1.106,-9.548,-9.505,-9.615,-9.526,-9.498,-9.554,-9.475,-9.495,-9.5,-9.512,-9.543,-9.546,-9.597,-9.543,-9.483,-9.489,-9.484,-9.496,-9.546,-9.526,-9.482,-9.512,-9.489,-9.303,-8.966,-8.951,-8.999,-8.993,-10.401,-14.322,-17.218,-19.451,-19.451,-19.451,-14.641,-7.882,-6.157,-7.75,-10.505,-11.629,-11.432,-10.588,-9.016,-8.415,-8.25,-9.026,-9.092,-9.624,-10.473,-11.479,-12.338,-12.394,-11.211,-10.504,-10.083,-9.341,-9.075,-9.25,-9.39,-9.252,-9.244,-9.476,-9.689,-10.171,-10.145,-9.945,-9.893,-9.758,-9.705,-9.78,-9.682,-9.66,-9.732,-9.682,-9.746,-9.794,-9.748,-9.657,-9.623,-9.642,-9.625,-9.636,-9.61,-9.7,-9.716,-9.608,-9.579,-9.55,-9.562,-9.56,-9.566,-9.683,-9.624,-9.677,-9.58,-9.521,-9.534,-9.539,-9.607,-9.573,1.49,1.942,1.676,1.545,1.804,1.822,1.682,1.688,1.702,1.551,1.612,1.843,1.837,1.859,1.781,1.707,1.56,1.833,1.883,1.729,1.856,1.9,1.782,1.5,0.861,1.449,2.173,1.863,1.502,1.552,-0.08,-6.81,-12.157,-14.914,-18.476,-15.409,-9.04,-3.738,1.262,5.81,8.542,7.798,4.754,1.513,0.413,1.72,1.494,-1.133,-4.659,-4.686,-2.109,1.304,4.779,5.53,2.308,-1.965,-4.255,-3.193,-1.762,-1.098,0.292,1.5,1.997,1.417,0.732,0.586,1.214,1.624,1.396,0.461,0.357,0.603,0.849,1.515,1.487,1.274,1.259,1.13,1.216,1.373,1.368,1.47,1.375,1.211,1.028,1.147,1.394,1.269,1.033,1.047,1.376,1.248,1.532,1.42,1.57,1.39,1.145,1.295,1.178,1.341
4,1.185,1.113,0.992,1.061,1.246,1.18,1.119,1.133,1.243,1.348,1.41,1.303,1.191,1.009,1.053,1.275,1.428,1.252,1.138,1.185,1.306,1.413,1.454,1.369,1.253,0.971,0.144,-1.214,-2.726,-5.083,-10.364,-18.889,-19.696,-19.696,-14.772,-3.233,10.142,11.803,10.645,3.806,-2.178,-3.478,-2.074,0.641,3.758,6.693,6.281,2.877,-0.888,-1.669,-0.593,1.384,0.903,-0.63,-1.374,-0.077,-0.688,-2.063,-3.445,-3.916,-2.549,-1.088,0.324,1.542,3.078,3.713,3.734,3.202,2.557,2.027,1.787,1.477,0.894,1.025,0.957,1.182,1.408,1.465,1.526,1.325,0.928,0.936,0.704,1.073,1.267,1.359,1.332,1.334,1.177,1.094,1.179,1.338,1.362,1.295,1.324,1.156,1.156,1.348,1.618,1.437,-9.557,-9.589,-9.747,-9.742,-9.617,-9.619,-9.645,-9.558,-9.579,-9.519,-9.558,-9.646,-9.703,-9.688,-9.622,-9.581,-9.586,-9.606,-9.633,-9.572,-9.604,-9.647,-9.645,-9.609,-9.567,-9.303,-8.913,-8.787,-8.835,-8.874,-11.675,-15.851,-19.451,-19.451,-19.451,-15.716,-8.291,-5.756,-8.759,-10.426,-11.223,-11.136,-9.998,-8.497,-7.73,-8.34,-9.089,-10.017,-10.642,-11.352,-11.996,-11.968,-10.35,-9.458,-8.769,-9.136,-9.282,-9.517,-10.25,-10.677,-10.835,-10.311,-9.861,-9.736,-9.803,-9.65,-9.256,-9.056,-9.5,-9.856,-9.873,-9.701,-9.845,-9.892,-9.847,-9.6,-9.488,-9.665,-9.497,-9.59,-9.565,-9.667,-9.835,-9.663,-9.557,-9.528,-9.558,-9.549,-9.528,-9.527,-9.625,-9.614,-9.643,-9.615,-9.532,-9.56,-9.579,-9.689,-9.561,-9.543,1.544,1.342,1.052,1.284,1.649,1.479,1.339,1.231,1.03,1.162,1.4,1.38,1.45,1.347,1.324,1.406,1.359,1.326,1.538,1.611,1.384,1.497,1.542,1.711,1.77,1.382,0.777,0.87,2.211,3.279,4.669,6.175,-1.921,-9.704,-14.719,-19.443,-19.443,-3.363,1.403,3.418,4.695,5.545,4.181,1.502,0.239,-0.004,-2.003,-3.177,-1.701,1.117,4.344,4.496,-0.469,-4.101,-4.584,-2.252,-1.248,0.892,2.261,2.2,2.39,1.369,0.072,-0.278,0.073,-0.167,-0.435,-0.794,0.063,1.037,1.533,1.461,1.054,1.766,1.581,1.192,0.897,0.793,1.235,1.285,1.332,1.623,1.403,1.772,1.575,1.424,1.215,1.279,1.169,1.211,1.19,1.28,1.295,1.348,1.31,0.908,1.041,1.435,1.467,1.049
5,1.414,1.538,1.452,1.386,1.412,1.319,1.458,1.396,1.235,0.995,1.195,1.531,1.535,1.506,1.414,1.46,1.422,1.314,1.42,1.577,1.595,1.453,1.51,1.542,1.578,1.01,0.341,-1.271,-5.787,-15.469,-19.696,-19.696,-10.967,-0.936,4.603,5.533,3.3,1.343,0.901,1.103,2.243,3.74,4.344,4.78,5.012,3.509,2.13,0.01,-1.201,-1.93,-2.055,-1.018,-0.43,-0.57,-1.955,-2.55,-2.265,-1.676,-0.246,0.998,1.847,2.362,2.629,2.769,2.713,2.467,2.172,1.882,1.938,1.821,2.157,1.83,1.936,1.745,1.557,1.928,1.951,1.99,1.871,1.853,1.884,1.493,1.701,1.573,1.416,1.565,1.776,1.724,1.756,1.681,1.599,1.42,1.68,1.883,1.753,1.779,1.964,1.987,1.812,1.711,-9.633,-9.697,-9.654,-9.634,-9.544,-9.511,-9.479,-9.537,-9.57,-9.675,-9.648,-9.544,-9.573,-9.53,-9.557,-9.589,-9.57,-9.555,-9.528,-9.47,-9.521,-9.599,-9.538,-9.516,-9.353,-8.32,-7.862,-9.371,-11.88,-14.175,-18.061,-19.451,-19.451,-15.355,-10.612,-8.507,-9.114,-10.054,-9.905,-9.485,-9.43,-9.045,-8.676,-8.581,-8.836,-9.406,-10.564,-11.797,-11.995,-11.351,-10.674,-10.651,-10.255,-9.525,-9.262,-9.215,-9.451,-9.73,-9.754,-9.678,-9.672,-9.671,-9.692,-9.576,-9.497,-9.51,-9.536,-9.583,-9.584,-9.468,-9.477,-9.593,-9.511,-9.534,-9.582,-9.507,-9.549,-9.469,-9.525,-9.469,-9.461,-9.458,-9.409,-9.429,-9.43,-9.529,-9.542,-9.558,-9.525,-9.541,-9.569,-9.629,-9.531,-9.502,-9.546,-9.597,-9.542,-9.509,-9.54,-9.53,1.177,1.441,1.388,1.438,1.418,1.122,1.139,1.16,1.309,1.265,1.53,1.432,1.184,1.23,1.244,1.34,1.375,1.333,1.451,1.36,1.198,1.275,1.475,1.775,1.766,0.872,1.755,4.731,8.807,11.397,5.687,-2.081,-9.336,-12.752,-16.241,-13.144,-4.7,0.724,4.396,6.128,4.849,2.185,-0.316,-1.39,-2.261,-2.857,-2.49,-1.824,0.243,1.014,2.328,3.522,4.083,2.125,-0.808,-1.87,-1.09,-0.317,0.819,1.38,1.47,1.226,0.89,0.614,0.905,1.36,1.646,1.35,1.103,0.7,1.227,1.308,1.475,1.154,1.059,1.537,1.524,1.289,1.263,1.734,1.669,1.121,1.448,1.375,1.335,1.383,1.482,1.465,1.584,1.351,1.219,0.934,1.394,1.197,0.846,1.133,1.579,1.406,0.928,1.044
6,1.885,1.861,1.824,1.784,1.814,1.621,1.609,1.695,1.739,1.83,1.891,1.929,1.729,1.565,1.598,1.854,1.949,1.85,1.689,1.679,1.753,1.851,1.857,1.899,1.957,2.1,2.282,2.072,1.673,1.537,1.531,0.605,-1.714,-3.189,-7.949,-15.045,-19.696,-19.696,-19.696,-9.775,1.528,11.08,11.569,10.806,6.619,2.223,-1.416,-3.263,-2.308,0.087,2.285,4.574,4.921,2.087,-3.383,-5.142,-3.26,0.678,1.951,-1.091,-4.365,-5.096,-3.14,-1.86,-1.376,-0.372,1.521,2.409,2.178,1.714,2.07,2.181,2.31,2.616,2.509,2.02,1.623,1.218,0.859,0.833,0.786,0.722,0.985,1.199,1.569,1.096,1.177,1.361,1.086,1.281,1.49,1.571,1.255,1.32,1.358,1.246,1.24,1.297,1.386,1.388,-9.49,-9.431,-9.446,-9.443,-9.481,-9.52,-9.569,-9.573,-9.499,-9.427,-9.42,-9.465,-9.552,-9.647,-9.556,-9.479,-9.461,-9.473,-9.524,-9.575,-9.599,-9.573,-9.526,-9.441,-9.439,-9.491,-9.426,-9.442,-9.54,-9.509,-9.396,-8.75,-8.629,-9.93,-10.813,-14.226,-18.662,-19.451,-19.451,-19.451,-15.868,-8.151,-5.412,-6.43,-7.893,-9.589,-9.998,-9.673,-9.22,-8.567,-8.429,-9.146,-10.072,-11.525,-11.851,-11.674,-10.928,-10.289,-10.401,-11.028,-11.346,-10.335,-9.446,-9.439,-9.159,-9.494,-9.93,-9.758,-9.853,-9.832,-9.845,-9.846,-9.825,-9.815,-9.544,-9.442,-9.639,-9.688,-9.751,-9.686,-9.766,-9.695,-9.76,-9.615,-9.517,-9.716,-9.604,-9.426,-9.633,-9.661,-9.622,-9.476,-9.561,-9.525,-9.636,-9.659,-9.603,-9.577,-9.59,-9.67,1.6,1.569,1.128,1.175,1.63,1.507,1.542,1.704,1.417,1.123,1.05,1.334,1.475,1.433,1.485,1.366,1.218,1.058,1.129,1.288,1.378,1.384,1.438,1.509,1.351,1.312,1.472,1.249,1.229,1.691,1.879,0.748,1.187,3.629,4.855,6.154,4.107,-4.224,-10.243,-15.999,-19.443,-17.685,-3.65,3.66,7.096,6.451,3.876,2.351,2.727,3.046,2.753,2.656,0.78,-2.861,-4.301,-2.112,2.025,4.502,0.582,-3.104,-2.549,1.719,3.887,0.673,-2.68,-3.301,-0.001,2.778,2.783,1.349,0.287,-0.459,0.147,1.287,1.306,0.869,0.743,0.7,0.677,0.946,1.384,1.699,1.804,1.028,0.841,0.427,1.268,1.798,1.336,1.472,1.511,1.183,0.622,1.017,1.393,1.281,0.984,1.23,1.381,1.006
7,1.32,1.619,1.461,1.607,1.373,1.425,1.415,1.496,1.571,1.283,1.349,1.219,1.296,1.352,1.413,1.677,1.596,1.339,1.168,1.171,1.468,1.836,1.788,1.556,1.363,1.443,1.718,1.836,1.742,1.314,1.926,0.151,-3.672,-7.397,-16.185,-19.696,-19.696,-19.696,-10.594,4.523,9.622,6.753,3.482,2.676,2.051,0.645,1.259,2.963,4.212,3.409,2.548,1.0,-1.11,-3.386,-4.526,-3.141,-0.761,-0.062,-1.189,-2.358,-2.52,-2.01,-1.562,-0.675,0.02,1.198,1.793,2.123,2.693,3.084,2.926,2.511,2.402,1.938,2.334,1.983,1.466,1.522,1.811,1.855,1.984,2.234,2.203,1.905,1.67,1.602,1.696,1.47,1.648,1.703,1.99,1.92,1.628,1.87,1.644,1.712,1.836,1.881,2.081,1.684,-9.601,-9.494,-9.548,-9.576,-9.61,-9.56,-9.643,-9.598,-9.56,-9.587,-9.572,-9.67,-9.594,-9.537,-9.589,-9.569,-9.667,-9.681,-9.669,-9.645,-9.542,-9.491,-9.566,-9.574,-9.71,-9.621,-9.553,-9.502,-9.391,-9.183,-9.482,-8.837,-7.8,-11.376,-16.154,-19.451,-19.451,-19.451,-19.451,-11.552,-4.795,-6.067,-8.049,-9.804,-10.061,-9.409,-8.956,-9.079,-8.936,-8.901,-10.004,-11.301,-12.23,-12.689,-12.334,-11.976,-11.125,-10.653,-10.601,-9.383,-8.865,-9.054,-9.142,-9.394,-9.615,-9.788,-9.839,-10.053,-9.942,-9.586,-9.439,-9.432,-9.488,-9.54,-9.409,-9.348,-9.627,-9.504,-9.568,-9.594,-9.564,-9.49,-9.406,-9.402,-9.55,-9.511,-9.387,-9.4,-9.361,-9.447,-9.392,-9.354,-9.521,-9.424,-9.415,-9.482,-9.421,-9.388,-9.35,-9.44,0.854,1.288,1.151,1.28,0.912,0.975,0.932,1.306,1.322,0.948,1.087,1.142,1.175,0.938,0.876,1.042,1.081,1.045,1.115,1.204,1.156,1.042,0.794,0.819,1.182,1.497,1.581,1.469,1.235,1.456,3.058,1.841,0.943,8.873,19.783,7.221,-3.755,-8.368,-18.436,-19.443,-16.146,-8.18,-0.939,5.152,7.302,5.468,2.428,1.807,1.014,-1.519,-2.932,-2.118,-2.059,-1.767,0.456,3.296,6.996,4.408,-0.611,-1.657,-0.794,-0.572,-0.4,0.591,1.254,1.786,1.823,1.359,1.573,1.464,0.981,0.941,1.357,1.18,1.734,1.456,1.331,1.793,1.945,1.705,1.518,2.176,2.261,1.665,1.317,1.76,2.059,1.7,1.814,1.59,1.77,1.374,1.357,2.096,1.831,1.588,1.49,1.616,1.757,1.23
8,1.656,1.828,2.082,2.104,2.047,2.014,1.907,1.958,2.081,2.09,1.943,1.806,1.581,1.726,1.652,1.805,1.94,1.915,1.954,1.766,1.705,1.856,1.939,1.659,1.482,1.043,0.703,0.59,0.48,-0.804,-2.968,-4.263,-9.343,-18.678,-19.696,-19.696,-8.827,1.7,7.96,9.193,8.077,5.243,2.571,0.58,-0.605,-0.453,0.915,2.498,1.86,2.512,2.102,0.544,-1.305,-2.512,-3.062,-1.469,0.347,-0.8,-2.896,-3.941,-3.36,-2.139,-1.31,-0.242,0.755,1.684,2.16,2.473,2.011,1.454,1.265,1.311,1.138,0.888,1.021,1.132,1.194,1.237,1.353,1.499,1.26,1.279,1.163,1.281,1.322,1.121,1.434,1.324,1.463,1.182,1.276,1.419,1.455,1.364,1.192,1.277,1.287,1.235,1.301,1.231,-9.436,-9.403,-9.37,-9.424,-9.4,-9.43,-9.506,-9.546,-9.463,-9.367,-9.357,-9.439,-9.433,-9.393,-9.439,-9.399,-9.43,-9.511,-9.451,-9.434,-9.408,-9.355,-9.29,-9.361,-9.341,-9.347,-9.493,-9.386,-9.427,-8.802,-7.933,-10.071,-13.549,-16.692,-19.451,-19.451,-19.451,-14.168,-8.743,-6.569,-7.147,-8.343,-9.587,-10.298,-9.954,-9.403,-8.928,-9.154,-9.358,-9.928,-10.474,-11.198,-11.5,-11.868,-11.41,-11.005,-10.362,-10.282,-9.861,-9.531,-9.398,-9.481,-9.899,-10.067,-9.817,-9.718,-9.703,-9.639,-9.657,-9.636,-9.646,-9.681,-9.687,-9.679,-9.66,-9.579,-9.588,-9.593,-9.514,-9.477,-9.587,-9.624,-9.588,-9.532,-9.455,-9.664,-9.641,-9.607,-9.511,-9.615,-9.557,-9.515,-9.497,-9.531,-9.54,-9.511,-9.584,-9.57,-9.543,-9.508,1.563,1.785,1.781,1.539,1.602,1.703,1.748,1.756,1.795,1.647,1.654,1.629,1.386,1.728,1.773,1.823,1.804,1.737,1.843,1.626,1.725,1.868,1.73,1.636,1.951,2.082,2.572,2.821,2.747,1.647,0.043,2.941,9.702,9.116,-0.773,-7.344,-11.494,-15.215,-14.471,-7.327,-0.66,1.907,2.897,3.828,3.597,3.25,3.273,2.579,0.695,0.278,-1.178,-2.899,-3.424,-1.675,1.043,3.522,4.015,0.365,-2.667,-2.382,-0.347,1.278,1.533,1.365,0.561,0.421,1.098,1.489,0.835,0.688,0.768,1.284,1.066,1.029,1.288,1.422,1.257,1.338,1.569,1.574,1.239,1.527,1.661,1.721,1.454,1.423,1.753,1.463,1.572,1.147,1.483,1.679,1.618,1.275,1.154,1.637,1.702,1.527,1.561,1.333
9,1.327,1.274,1.484,1.864,1.887,1.729,1.469,1.353,1.367,1.445,1.492,1.553,1.544,1.538,1.614,1.51,1.463,1.418,1.405,1.305,1.35,1.535,1.548,1.43,1.22,1.248,0.24,-3.183,-5.776,-7.468,-15.65,-19.696,-19.696,-19.696,-6.686,5.607,12.763,13.731,11.453,5.972,-0.278,-4.562,-5.483,-3.651,-0.987,2.118,3.74,5.612,5.673,3.486,1.432,-1.472,-1.75,-0.547,0.62,0.443,-1.656,-3.166,-3.707,-3.822,-3.092,-1.294,0.028,0.831,1.156,1.32,1.261,1.517,1.672,1.724,1.594,1.41,1.25,1.197,1.136,0.941,1.005,1.273,1.301,1.132,1.163,1.124,1.023,1.076,0.933,1.034,1.222,1.225,0.968,0.97,1.024,1.146,1.243,1.338,1.237,1.021,0.912,1.094,1.21,1.21,-9.412,-9.549,-9.616,-9.487,-9.491,-9.617,-9.668,-9.672,-9.739,-9.663,-9.634,-9.54,-9.53,-9.513,-9.438,-9.512,-9.512,-9.573,-9.56,-9.529,-9.585,-9.473,-9.46,-9.455,-9.552,-9.531,-8.87,-8.294,-8.987,-10.978,-13.505,-19.415,-19.451,-19.451,-19.451,-13.648,-7.078,-5.533,-6.651,-9.651,-11.832,-11.721,-10.821,-9.577,-9.121,-8.421,-8.1,-8.757,-9.64,-10.189,-11.236,-12.045,-12.279,-12.398,-11.641,-10.843,-10.472,-10.111,-9.005,-8.591,-8.762,-9.506,-9.858,-10.031,-10.091,-10.02,-10.066,-9.883,-9.648,-9.533,-9.495,-9.548,-9.532,-9.459,-9.499,-9.648,-9.641,-9.47,-9.437,-9.532,-9.546,-9.51,-9.567,-9.563,-9.485,-9.515,-9.46,-9.488,-9.492,-9.556,-9.506,-9.547,-9.552,-9.49,-9.443,-9.47,-9.581,-9.57,-9.557,-9.488,1.463,1.422,1.645,1.518,1.178,1.28,1.568,1.793,1.648,1.369,1.163,1.432,1.512,1.352,1.399,1.202,1.381,1.632,1.698,1.596,1.779,1.62,1.271,1.525,1.715,1.988,1.174,0.531,2.01,5.599,3.95,0.202,-6.915,-15.599,-18.284,-18.811,-13.526,-5.573,-0.561,1.344,3.647,7.099,8.672,7.197,4.423,2.662,0.89,0.638,-0.566,-2.443,-4.187,-2.312,1.628,2.695,1.999,-0.019,-3.152,-4.561,-3.059,-1.507,0.502,2.575,2.851,2.199,1.703,2.001,2.053,1.975,0.709,0.518,0.967,1.664,1.98,1.798,1.891,1.918,2.145,2.428,2.248,2.114,2.257,2.125,1.936,2.077,2.101,2.218,2.24,1.74,1.537,1.995,2.235,2.189,1.901,1.831,1.684,1.791,1.87,2.15,2.044,1.849
