148781.13489, 3,   3.204,  0.014,  9.531
148781.15489, 3,   4.441, -0.219,  8.958
148781.17489, 3,   4.235,  0.266,  8.853
148781.19489, 3,   4.099,  0.072,  9.120
148781.21489, 3,   4.441,  0.191,  8.870
148781.23489, 3,   4.234,  0.576,  8.367
148781.25489, 3,   3.564,  0.852,  7.743
148781.27489, 3,   4.177,  0.237,  8.289
148781.29489, 3,   4.599,  0.105,  8.978
148781.31489, 3,   4.936,  0.208,  8.292
148781.33489, 3,   4.494,  1.123,  7.575
148781.35489, 3,   3.880,  1.587,  8.249
148781.37489, 3,   4.798, -0.214,  8.705
148781.39489, 3,   5.689, -0.602,  8.998
148781.41489, 3,   5.279,  0.315,  8.875
148781.43489, 3,   4.838,  0.633,  8.402
148781.45489, 3,   4.269,  1.172,  8.219
148781.47489, 3,   5.409, -0.008,  5.742
148781.49489, 3,   6.592, -2.322,  6.826
148781.51489, 3,   6.147, -1.176,  8.569
148781.53489, 3,   6.354, -0.508,  8.085
148781.55489, 3,   6.012,  0.114,  6.793
148781.57489, 3,   6.150,  0.111,  5.949
148781.59489, 3,   6.533, -0.493,  5.928
148781.61489, 3,   6.836, -0.807,  6.295
148781.63489, 3,   7.441, -0.471,  7.463
148781.65489, 3,   7.232,  0.089,  8.256
148781.67489, 3,   7.090, -0.372,  7.835
148781.69489, 3,   7.093, -0.361,  7.261
148781.71489, 3,   7.493, -0.708,  4.924
148781.73489, 3,   8.516, -1.651,  3.501
148781.75489, 3,   8.953, -1.799,  3.875
148781.77489, 3,   7.896, -1.304,  4.399
148781.79489, 3,   7.448, -1.296,  5.419
148781.81489, 3,   7.345, -1.169,  6.031
148781.83489, 3,   6.424, -0.769,  5.297
148781.85489, 3,   7.632, -1.096,  5.538
148781.87489, 3,   7.996, -2.318,  4.820
148781.89489, 3,   9.902, -4.955,  4.624
148781.91489, 3,   9.030, -4.008,  4.928
148781.93489, 3,   7.667, -2.444,  4.670
148781.95489, 3,   7.201, -2.682,  3.205
148781.97489, 3,   7.457, -3.178,  3.148
148781.99489, 3,   9.786, -3.612,  5.735
148782.01489, 3,   9.933, -3.703,  6.421
148782.03489, 3,   8.498, -3.339,  4.476
148782.05489, 3,   8.301, -3.845,  2.760
148782.07489, 3,   8.199, -4.691,  2.140
